community link,community title,jupiter id,hydra noid,fedora3 uuid,Scholaris Link
https://era.library.ualberta.ca/communities/cfcfda87-086e-4d6b-acc4-86cec0b6f628,"Civil and Environmental Engineering, Department of",cfcfda87-086e-4d6b-acc4-86cec0b6f628,44558r465,uuid:9d4b988b-10d8-487b-8a4e-44bc9541191b,https://ualberta-dev.scholaris.ca/handle/123456789/1784
https://era.library.ualberta.ca/communities/d014ac74-9b10-454c-9ff4-02d30746e25f,Politics of Libraries Conference,d014ac74-9b10-454c-9ff4-02d30746e25f,,,https://ualberta-dev.scholaris.ca/handle/123456789/1789
https://era.library.ualberta.ca/communities/d11a1aa0-0f13-41c1-9357-31f5322833e5,"Kinesiology, Sport, and Recreation, Faculty of",d11a1aa0-0f13-41c1-9357-31f5322833e5,44558q990,uuid:0146699b-6883-4a10-991f-f4ce17b3897d,https://ualberta-dev.scholaris.ca/handle/123456789/1791
https://era.library.ualberta.ca/communities/d1640714-da95-4963-9242-68065fece5f4,ACCES Research Group,d1640714-da95-4963-9242-68065fece5f4,44558r05x,uuid:ac609faf-33e4-448a-a7fe-f363dab751f3,https://ualberta-dev.scholaris.ca/handle/123456789/1796
https://era.library.ualberta.ca/communities/d1d8daa4-1906-482b-8d2d-a2475529f555,WILU 2017,d1d8daa4-1906-482b-8d2d-a2475529f555,b7h149q01f,,https://ualberta-dev.scholaris.ca/handle/123456789/1798
https://era.library.ualberta.ca/communities/d3eb0213-8790-496a-bc99-271df6f80c03,PigGen Canada,d3eb0213-8790-496a-bc99-271df6f80c03,,,https://ualberta-dev.scholaris.ca/handle/123456789/1803
https://era.library.ualberta.ca/communities/d67d3881-47d5-4e73-9b61-99e44e4c9114,Institute of Prairie and Indigenous Archaeology,d67d3881-47d5-4e73-9b61-99e44e4c9114,,,https://ualberta-dev.scholaris.ca/handle/123456789/1805
https://era.library.ualberta.ca/communities/d75ac59b-ca77-47a5-9415-aa459ce9db36,"University of Alberta ""Omics"" Conference",d75ac59b-ca77-47a5-9415-aa459ce9db36,44558r53k,uuid:b1ccb4ff-7343-4c54-be8e-a90ce762a65f,https://ualberta-dev.scholaris.ca/handle/123456789/1807
https://era.library.ualberta.ca/communities/d844d15c-09bf-4380-822b-2c52a26ba93c,Concordia University of Edmonton,d844d15c-09bf-4380-822b-2c52a26ba93c,,,https://ualberta-dev.scholaris.ca/handle/123456789/1809
https://era.library.ualberta.ca/communities/d85ab379-7a23-4569-a7c6-e10cf3d22780,"Chemistry, Department of",d85ab379-7a23-4569-a7c6-e10cf3d22780,44558r65c,uuid:c8597ad7-bdb2-4080-a0e5-5be9c571ceb4,https://ualberta-dev.scholaris.ca/handle/123456789/1819
https://era.library.ualberta.ca/communities/d9253112-d9df-47ce-b839-747661335695,Histories of Humanities Computing,d9253112-d9df-47ce-b839-747661335695,44558r333,uuid:ee2e7e6f-0956-47ef-bea1-88bc8dc52283,https://ualberta-dev.scholaris.ca/handle/123456789/1822
https://era.library.ualberta.ca/communities/db83e5e6-729b-4dd0-8014-d5c288300426,Communications and Technology Graduate Program,db83e5e6-729b-4dd0-8014-d5c288300426,44558r01t,uuid:c689f037-10ea-4c15-8582-6d4f2fef9847,https://ualberta-dev.scholaris.ca/handle/123456789/1824
https://era.library.ualberta.ca/communities/db9a4e71-f809-4385-a274-048f28eb6814,"Graduate and Postdoctoral Studies (GPS), Faculty of",db9a4e71-f809-4385-a274-048f28eb6814,44558r66n,uuid:39331f1f-769d-4c2a-a103-416c285d01fc,https://ualberta-dev.scholaris.ca/handle/123456789/1829
https://era.library.ualberta.ca/communities/dc1bf7d9-701c-4e46-8637-91854194c1a7,Academic Writing Resources and Research,dc1bf7d9-701c-4e46-8637-91854194c1a7,bng451h68g,,https://ualberta-dev.scholaris.ca/handle/123456789/1831
https://era.library.ualberta.ca/communities/dcece9e1-4420-4743-ba8e-b1d74de7fae8,Alberta Heritage Foundation for Medical Research (AHFMR),dcece9e1-4420-4743-ba8e-b1d74de7fae8,bxp68kg423,,https://ualberta-dev.scholaris.ca/handle/123456789/1833
https://era.library.ualberta.ca/communities/ddb5be0f-f911-4387-ac39-cda724ce0953,Information for All Programme (IFAP),ddb5be0f-f911-4387-ac39-cda724ce0953,,,https://ualberta-dev.scholaris.ca/handle/123456789/1836
https://era.library.ualberta.ca/communities/e06d8668-5460-47ba-a842-ba7aa1ec4021,"Mathematical and Statistical Sciences, Department of",e06d8668-5460-47ba-a842-ba7aa1ec4021,44558r07g,uuid:ffdd2762-3ba4-4b0b-8e68-4ca9a229e87a,https://ualberta-dev.scholaris.ca/handle/123456789/1838
https://era.library.ualberta.ca/communities/e14a6354-b557-4a15-8e99-70ad237be121,Images of Research Competition,e14a6354-b557-4a15-8e99-70ad237be121,gm80hz130,,https://ualberta-dev.scholaris.ca/handle/123456789/1840
https://era.library.ualberta.ca/communities/e172cce1-58f9-4759-b6c1-e6df2480601b,"Pediatrics, Department of",e172cce1-58f9-4759-b6c1-e6df2480601b,44558r112,uuid:4d34e5e0-b796-4f8c-b976-11906ef74b88,https://ualberta-dev.scholaris.ca/handle/123456789/1849
https://era.library.ualberta.ca/communities/e27fa3ab-71c7-4258-b929-eeeaf51256af,Presentations and Resources about OER,e27fa3ab-71c7-4258-b929-eeeaf51256af,bj6731393w,,https://ualberta-dev.scholaris.ca/handle/123456789/1857
https://era.library.ualberta.ca/communities/e29628c4-d610-4ab7-9946-1db05d915f66,University of Alberta Copyright Office,e29628c4-d610-4ab7-9946-1db05d915f66,s4655k47n,,https://ualberta-dev.scholaris.ca/handle/123456789/1859
